symbol,tf,signal,sl,tp,trades,wins,losses,open,winrate,netR,expectancyR
BTCUSDT,1h,rsi_sell,1,1,6,5,0,1,1.0000,4.25,0.8500
BTCUSDT,1h,rsi_buy,1,1,9,5,4,0,0.5556,-0.35,-0.0389
BTCUSDT,1h,div_bear,1,1,3,1,2,0,0.3333,-1.45,-0.4833
BTCUSDT,1h,div_bull,1,1,1,0,1,0,0.0000,-1.15,-1.1500
BTCUSDT,1h,rsi_sell,1,2,6,4,1,1,0.8000,6.25,1.2500
BTCUSDT,1h,rsi_buy,1,2,9,2,6,1,0.2500,-3.20,-0.4000
BTCUSDT,1h,div_bear,1,2,3,1,2,0,0.3333,-0.45,-0.1500
BTCUSDT,1h,div_bull,1,2,1,0,1,0,0.0000,-1.15,-1.1500
BTCUSDT,1h,rsi_sell,1,3,6,4,1,1,0.8000,10.25,2.0500
BTCUSDT,1h,rsi_buy,1,3,9,1,7,1,0.1250,-5.20,-0.6500
BTCUSDT,1h,div_bear,1,3,3,1,2,0,0.3333,0.55,0.1833
BTCUSDT,1h,div_bull,1,3,1,0,1,0,0.0000,-1.15,-1.1500
BTCUSDT,1h,rsi_sell,2,2,6,4,1,1,0.8000,2.63,0.5250
BTCUSDT,1h,rsi_buy,2,2,9,5,2,2,0.7143,2.47,0.3536
BTCUSDT,1h,div_bear,2,2,3,1,1,1,0.5000,-0.15,-0.0750
BTCUSDT,1h,div_bull,2,2,1,0,1,0,0.0000,-1.07,-1.0750
BTCUSDT,1h,rsi_sell,2,4,6,3,1,2,0.7500,4.70,1.1750
BTCUSDT,1h,rsi_buy,2,4,9,1,5,3,0.1667,-3.45,-0.5750
BTCUSDT,1h,div_bear,2,4,3,0,1,2,0.0000,-1.07,-1.0750
BTCUSDT,1h,div_bull,2,4,1,0,1,0,0.0000,-1.07,-1.0750
BTCUSDT,1h,rsi_sell,2,6,6,1,1,4,0.5000,1.85,0.9250
BTCUSDT,1h,rsi_buy,2,6,9,0,5,4,0.0000,-5.38,-1.0750
BTCUSDT,1h,div_bear,2,6,3,0,1,2,0.0000,-1.07,-1.0750
BTCUSDT,1h,div_bull,2,6,1,0,1,0,0.0000,-1.07,-1.0750
BTCUSDT,1h,rsi_sell,3,3,6,4,1,1,0.8000,2.75,0.5500
BTCUSDT,1h,rsi_buy,3,3,9,2,2,5,0.5000,-0.20,-0.0500
BTCUSDT,1h,div_bear,3,3,3,1,0,2,1.0000,0.95,0.9500
BTCUSDT,1h,div_bull,3,3,1,0,0,1,0.0000,0.00,-1.0500
BTCUSDT,1h,rsi_sell,3,6,6,1,1,4,0.5000,0.90,0.4500
BTCUSDT,1h,rsi_buy,3,6,9,0,2,7,0.0000,-2.10,-1.0500
BTCUSDT,1h,div_bear,3,6,3,0,0,3,0.0000,0.00,-1.0500
BTCUSDT,1h,div_bull,3,6,1,0,0,1,0.0000,0.00,-1.0500
BTCUSDT,1h,rsi_sell,3,9,6,0,1,5,0.0000,-1.05,-1.0500
BTCUSDT,1h,rsi_buy,3,9,9,0,2,7,0.0000,-2.10,-1.0500
BTCUSDT,1h,div_bear,3,9,3,0,0,3,0.0000,0.00,-1.0500
