symbol,tf,signal,sl,tp,trades,wins,losses,open,winrate,netR,expectancyR
BNBUSDT,1h,rsi_buy,3,9,8,1,0,7,1.0,2.95,2.95
BNBUSDT,1h,rsi_buy,2,6,8,5,0,3,1.0,14.63,2.925
BNBUSDT,1h,rsi_buy,1,3,8,6,0,2,1.0,17.1,2.85
BTCUSDT,1h,rsi_sell,1,3,6,4,1,1,0.8,10.25,2.05
BNBUSDT,1h,rsi_buy,3,6,8,5,0,3,1.0,9.75,1.95
BNBUSDT,1h,rsi_buy,2,4,8,6,0,2,1.0,11.55,1.925
BNBUSDT,1h,rsi_buy,1,2,8,6,0,2,1.0,11.1,1.85
BTCUSDT,4h,rsi_sell,2,6,6,4,2,0,0.6667,9.55,1.5917
BTCUSDT,4h,rsi_sell,3,9,6,3,2,1,0.6,6.75,1.35
BTCUSDT,1h,rsi_sell,1,2,6,4,1,1,0.8,6.25,1.25
BTCUSDT,1h,rsi_sell,2,4,6,3,1,2,0.75,4.7,1.175
BTCUSDT,4h,rsi_sell,3,6,6,4,2,0,0.6667,5.7,0.95
BNBUSDT,1h,rsi_buy,3,3,8,6,0,2,1.0,5.7,0.95
BNBUSDT,1h,rsi_buy,2,2,8,6,0,2,1.0,5.55,0.925
BTCUSDT,1h,rsi_sell,2,6,6,1,1,4,0.5,1.85,0.925
BNBUSDT,4h,rsi_buy,2,4,9,6,3,0,0.6667,8.33,0.925
BTCUSDT,4h,rsi_sell,2,4,6,4,2,0,0.6667,5.55,0.925
BNBUSDT,1h,rsi_buy,1,1,8,6,0,2,1.0,5.1,0.85
BTCUSDT,1h,rsi_sell,1,1,6,5,0,1,1.0,4.25,0.85
BNBUSDT,4h,rsi_buy,3,9,9,4,5,0,0.4444,6.55,0.7278
BNBUSDT,4h,rsi_buy,2,6,9,4,5,0,0.4444,6.33,0.7028
ETHUSDT,1h,rsi_buy,2,2,9,8,1,0,0.8889,6.32,0.7028
BNBUSDT,4h,rsi_sell,1,2,6,3,2,1,0.6,3.25,0.65
ETHUSDT,1h,rsi_buy,3,3,9,5,1,3,0.8333,3.7,0.6167
BNBUSDT,4h,rsi_buy,3,6,9,5,4,0,0.5556,5.55,0.6167
BTCUSDT,4h,rsi_sell,2,2,6,5,1,0,0.8333,3.55,0.5917
BTCUSDT,4h,div_bear,1,2,7,4,3,0,0.5714,3.95,0.5643
BTCUSDT,4h,div_bear,3,9,7,2,3,2,0.4,2.75,0.55
BTCUSDT,1h,rsi_sell,3,3,6,4,1,1,0.8,2.75,0.55
SOLUSDT,4h,rsi_sell,3,9,12,4,6,2,0.4,5.5,0.55
BTCUSDT,4h,div_bear,2,6,7,2,3,2,0.4,2.62,0.525
BTCUSDT,1h,rsi_sell,2,2,6,4,1,1,0.8,2.63,0.525
BNBUSDT,4h,rsi_sell,2,2,6,4,1,1,0.8,2.63,0.525
SOLUSDT,1h,div_bull,1,1,6,5,1,0,0.8333,3.1,0.5167
BNBUSDT,4h,rsi_buy,3,3,9,7,2,0,0.7778,4.55,0.5056
BNBUSDT,4h,rsi_buy,2,2,9,7,2,0,0.7778,4.32,0.4806
SOLUSDT,1h,rsi_buy,1,3,6,2,3,1,0.4,2.25,0.45
BNBUSDT,4h,rsi_sell,1,3,6,2,3,1,0.4,2.25,0.45
BTCUSDT,1h,rsi_sell,3,6,6,1,1,4,0.5,0.9,0.45
SOLUSDT,1h,rsi_sell,3,6,11,4,4,3,0.5,3.6,0.45
ETHUSDT,1h,rsi_sell,2,4,9,2,2,5,0.5,1.7,0.425
BTCUSDT,4h,div_bear,2,4,7,3,3,1,0.5,2.55,0.425
ETHUSDT,1h,rsi_buy,2,4,9,3,3,3,0.5,2.55,0.425
SOLUSDT,1d,rsi_buy,2,4,6,3,3,0,0.5,2.55,0.425
BNBUSDT,1h,rsi_sell,1,1,9,7,2,0,0.7778,3.65,0.4056
SOLUSDT,4h,rsi_sell,2,6,12,4,7,1,0.3636,4.17,0.3795
BTCUSDT,1h,rsi_buy,2,2,9,5,2,2,0.7143,2.47,0.3536
BTCUSDT,4h,div_bear,2,2,7,5,2,0,0.7143,2.48,0.3536
BTCUSDT,4h,rsi_sell,1,2,6,3,3,0,0.5,2.1,0.35
BTCUSDT,4h,div_bear,3,3,7,4,2,1,0.6667,1.7,0.2833
BTCUSDT,4h,rsi_sell,3,3,6,4,2,0,0.6667,1.7,0.2833
BTCUSDT,4h,div_bear,1,1,7,5,2,0,0.7143,1.95,0.2786
SOLUSDT,1h,rsi_sell,2,6,11,3,6,2,0.3333,2.32,0.2583
ETHUSDT,4h,rsi_sell,2,4,9,4,5,0,0.4444,2.33,0.2583
ETHUSDT,1h,rsi_sell,2,2,9,4,2,3,0.6667,1.55,0.2583
SOLUSDT,1d,rsi_buy,2,6,6,2,4,0,0.3333,1.55,0.2583
ETHUSDT,1h,div_bear,2,2,6,4,2,0,0.6667,1.55,0.2583
SOLUSDT,4h,div_bull,2,6,7,2,4,1,0.3333,1.55,0.2583
BTCUSDT,1d,rsi_sell,1,2,11,5,6,0,0.4545,2.35,0.2136
SOLUSDT,4h,rsi_buy,3,3,8,5,3,0,0.625,1.6,0.2
